Single Player Wi-Fi (from disconnected at Globe or Friend Room),0x56,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x76, 0x7F, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8B, 0x8C, 0x8D, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Single Player Wi-Fi (from find a Friend),0x57,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x76, 0x7F, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8B, 0x8C, 0x8D, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Single Player Wi-Fi Versus voting,0x58,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Battle voting,0x59,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Select Mii,0x5A,"0x52, 0x5E, 0x60, 0x61, 0x62, 0x63, 0x64, 0x8A"
Two Player Wi-Fi,0x5B,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x76, 0x7F, 0x81, 0x82, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8B, 0x8C, 0x8D, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Two Player Wi-Fi (from disconnected at Globe or Friend Room),0x5C,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x76, 0x7F, 0x81, 0x82, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8B, 0x8C, 0x8D, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Unknown,0x5D,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x76, 0x7F, 0x81, 0x82, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8B, 0x8C, 0x8D, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Two Player Wi-Fi Versus Voting,0x5E,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Battle Voting,0x5F,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Friend Room Versus Voting,0x60,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Friend Room Team Versus Voting,0x61,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Friend Room Balloon Battle Voting,0x62,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Friend Room Coin Runners Voting,0x63,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Friend Room Versus Voting,0x64,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Friend Room Team Versus Voting,0x65,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x6E, 0x6F, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Friend Room Balloon Battle Voting,0x66,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Two Player Wi-Fi Friend Room Coin Runners Voting,0x67,"0x4E, 0x50, 0x51, 0x5C, 0x5E, 0x78, 0x79, 0x7F, 0x88, 0x90, 0x91, 0x92"
Single Player Wi-Fi Versus Gameplay,0x68,"0x31, 0x3A, 0x40, 0x45, 0x46, 0x47, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Versus Gameplay,0x69,"0x31, 0x3A, 0x41, 0x45, 0x46, 0x47, 0x48, 0x51, 0x88, 0x94"
Single Player Wi-Fi Versus Live View,0x6A,"0x3A, 0x48, 0x49, 0x51, 0x88, 0x93, 0x94"
Two Player Wi-Fi Versus Live View,0x6B,"0x3A, 0x48, 0x49, 0x51, 0x88, 0x93, 0x94"
Single Player Wi-Fi Battle Gameplay,0x6C,"0x12, 0x31, 0x33, 0x3A, 0x45, 0x46, 0x47, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Battle Gameplay,0x6D,"0x13, 0x31, 0x33, 0x3A, 0x45, 0x46, 0x47, 0x48, 0x51, 0x88, 0x94"
Single Player Wi-Fi Battle Live View,0x6E,"0x33, 0x3A, 0x48, 0x4A, 0x51, 0x88, 0x93, 0x94"
Two Player Wi-Fi Battle Live View,0x6F,"0x33, 0x3A, 0x48, 0x4A, 0x51, 0x88, 0x93, 0x94"
Single Player Wi-Fi Friend Room Versus Gameplay,0x70,"0x2F, 0x30, 0x3A, 0x42, 0x44, 0x48, 0x51, 0x88, 0x94"
Single Player Wi-Fi Friend Room Team Versus Gameplay,0x71,"0x2F, 0x32, 0x3A, 0x42, 0x44, 0x48, 0x51, 0x88, 0x94"
Single Player Wi-Fi Friend Baloon Battle Gameplay,0x72,"0x12, 0x33, 0x34, 0x3A, 0x44, 0x48, 0x51, 0x88, 0x94"
Single Player Wi-Fi Friend Coin Runner Gameplay,0x73,"0x12, 0x33, 0x34, 0x3A, 0x44, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Friend Room Versus Gameplay,0x74,"0x2F, 0x30, 0x3A, 0x43, 0x44, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Friend Room Team Versus Gameplay,0x75,"0x2F, 0x32, 0x3A, 0x43, 0x44, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Friend Baloon Battle Gameplay,0x76,"0x13, 0x33, 0x34, 0x3A, 0x44, 0x48, 0x51, 0x88, 0x94"
Two Player Wi-Fi Friend Coin Runner Gameplay,0x77,"0x13, 0x33, 0x34, 0x3A, 0x44, 0x48, 0x51, 0x88, 0x94"
Wi-Fi Disconnected Prompt (with error code),0x78,"0x5D, 0x89"
Wi-Fi Disconnected Prompt (general disconnect),0x79,"0x5D, 0x89"
Mario Kart Channel (from Main Menu),0x7A,"0x4D, 0x51, 0x52, 0x5E, 0xA2, 0xA3, 0xA4"
Mario Kart Channel (from Time Trial check rankings),0x7B,"0x4D, 0x51, 0x52, 0x5E, 0xA2, 0xA3, 0xA4"
Mario Kart Channel (from downloaded ghost data list),0x7C,"0x4D, 0x51, 0x52, 0x5E, 0xA2, 0xA3, 0xA4"
Mario Kart Channel Leaderboards,0x7D,"0x4E, 0x4F, 0x50, 0x51, 0x52, 0x6E, 0x6F, 0x84, 0x85, 0x86, 0x88, 0x89, 0x95, 0xA7, 0xA8, 0xAA, 0xAB, 0xAC, 0xAD, 0xAE, 0xAF"
Mario Kart Channel Tournament Leaderboards,0x7E,"0x4E, 0x4F, 0x50, 0x51, 0x52, 0x84, 0x85, 0x86, 0x88, 0x89, 0x95, 0xA9, 0xAA, 0xAB, 0xAE, 0xAF, 0xB0"
Ghost Race (with Ghost Data ready),0x7F,"0x4B, 0x4D, 0x51, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0x9F, 0xA0, 0xA1"
Ghost Race (without Ghost Data ready),0x80,"0x4B, 0x4D, 0x4E, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0x84, 0x85, 0x86, 0x88, 0x89, 0x9F, 0xA0, 0xA1"
Ghost Race Next Race,0x81,"0x4B, 0x4D, 0x4E, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x7F, 0x84, 0x85, 0x86, 0x88, 0x89, 0xA0, 0xA1"
Downloaded Ghost Data List,0x82,"0x4D, 0x4F, 0x51, 0x5E, 0xA7, 0xB3, 0xB4, 0xB5"
Friends List (from Mario Kart Channel or find Friend),0x83,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x76, 0x7F, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8E, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Friends List (from Mario Kart Channel or find Friend),0x84,"0x4C, 0x4D, 0x4E, 0x4F, 0x50, 0x51, 0x52, 0x5E, 0x6B, 0x6C, 0x6D, 0x76, 0x7F, 0x84, 0x85, 0x86, 0x87, 0x88, 0x89, 0x8E, 0x8F, 0x95, 0x96, 0x97, 0x98, 0x99, 0x9A, 0x9B, 0x9C, 0x9D, 0x9E, 0xA5, 0xA6, 0xA7"
Competition (from Mario Kart Channel),0x85,"0x4B, 0x4D, 0x51, 0x6B, 0x6C, 0x6D, 0x7F, 0xB7, 0xB8, 0xBB"
Competition (from Change Character),0x86,"0x4B, 0x4D, 0x51, 0x6B, 0x6C, 0x6D, 0x7F, 0xB7, 0xB8, 0xBB"
Competition Submit Record,0x87,"0x4E, 0x4F, 0x50, 0x51, 0x5E, 0x84, 0x85, 0x86, 0x88, 0x89, 0xB9"
Competition for Wii Wheels Only,0x88,"0x5B, 0xBA"
Competition for Wii Wheels Only for bosses?,0x89,"0x5B, 0xBA"
Invite Friends via Wii Message Board,0x8A,"0x4F, 0x51, 0x52, 0x5E, 0xBD, 0xBE, 0xBF"
Download Latest Data,0x8B,"0x50, 0x51, 0x52, 0x5E, 0xBC"
Options,0x8C,"0x4D, 0x4E, 0x5D, 0xC0, 0xC1, 0xC2, 0xC3, 0xC4, 0xC5, 0xC6, 0xC7, 0xC8, 0xC9, 0xCA, 0xCB, 0xCC"
Add Mario Kart Channel,0x8D,"0x5D, 0xCA, 0xCB, 0xCC"
Choose Region,0x8E,"0x5D, 0xC5, 0xCC"
Join Message Service,0x8F,"0x4E, 0x5D, 0xC2, 0xC3, 0xC6, 0xC7, 0xC8, 0xC9, 0xCC"
Unlock Message (Orange),0x90,"0x5B, 0x5E, 0x7F, 0xCD"
Unlock Message (Orange),0x91,"0x5B, 0x5E, 0x7F, 0xCD"
Unlock Message (Blue),0x92,"0x5B, 0x5E, 0x7F, 0xCD"
Unlock Message (Yellow),0x93,"0x5B, 0x5E, 0x7F, 0xCD"
Broken Mission Mode Single Player Menu,0x94,"0x7A, 0x7B, 0x7C, 0x7D, 0x7E"
No Game Disc (Wii Menu Channel only),0x95,"0x03, 0x0C, 0x10, 0x26"
Could Not Access System Memory (Wii Menu Channel only),0x96,"0x02, 0x10"
Cannot access Mii data error (Wii Menu Channel only),0x97,"0x04, 0x10"
"Empty message box? (Wii Menu Channel only, softlock)",0x98,"0x10, 0x1A"
ESRB Warning (Wii Menu Channel only),0x99,0x01
